序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
1,4000,50,0.006,5,10,38.122,4,4.788,22.387,30.981,53.369
2,6000,10,0.003,5,15,17.396,1.711,2.142,14.799,10.718,25.517
3,500,2,0.004,4,10,6.074,1.127,1.563,16.431,-0.686,15.745
4,500,2,0.003,6,15,9.569,1.881,2.343,15.387,1.901,17.287
5,1000,2,0.002,4,10,8.405,2.154,2.579,15.692,0.043,15.734
6,2000,2,0.006,4,15,1.833,1.123,1.414,11.288,-3.264,8.023
7,6000,20,0.002,6,5,35.552,2.82,3.756,23.21,20.604,43.815
8,4000,5,0.002,3,10,10.183,1.902,2.251,13.38,3.007,16.387
9,500,2,0.002,5,20,9.634,2.134,2.6,17.658,2.048,19.706
10,500,2,0.006,3,10,2.621,1.268,1.567,11.426,-1.456,9.971
11,1000,2,0.006,2,20,0.245,1.154,1.476,12.729,-5.608,7.121
12,2000,2,0.004,3,15,3.974,1.513,1.917,12.004,-1.207,10.797
13,500,2,0.006,6,20,4.746,1.06,1.346,13.096,-1.058,12.038
14,4000,20,0.005,4,20,16.18,1.381,1.67,12.34,10.177,22.517
15,6000,20,0.006,2,15,7.554,1.067,1.414,12.745,3.293,16.038
16,1000,5,0.005,3,15,7.858,1.708,2.099,11.604,2.08,13.684
17,2000,2,0.002,3,15,7.494,1.789,2.169,14.707,-1.314,13.393
18,500,2,0.005,4,15,4.504,1.205,1.546,11.305,-0.78,10.525
19,6000,50,0.003,4,15,42.458,2.43,2.989,15.88,35.758,51.638
20,2000,5,0.002,3,5,14.89,1.298,1.641,10.652,9.794,20.446
21,2000,5,0.002,4,5,19.004,1.531,1.905,14.37,9.888,24.258
22,4000,10,0.002,5,1,46.624,3.002,3.41,14.742,39.334,54.075
23,1000,5,0.003,5,10,11.77,2.421,2.864,15.111,2.971,18.082
24,1000,5,0.002,5,10,14.121,1.812,2.104,11.93,7.635,19.565
25,500,2,0.006,6,5,7.449,1.743,2.116,14.721,0.826,15.547
26,2000,5,0.002,3,15,10.661,2.169,2.546,15.011,4,19.012
27,4000,10,0.003,4,1,43.261,1.669,2.208,16.28,33.468,49.748
28,6000,5,0.002,5,10,12.892,1.736,2.052,12.878,6.602,19.48
29,2000,5,0.006,5,5,10.929,1.876,2.173,12.965,4.093,17.057
30,500,2,0.005,6,10,5.279,1.473,1.778,12.166,-0.586,11.58
31,4000,50,0.004,2,10,22.239,2.23,2.866,18.032,14.963,32.995
32,4000,20,0.005,2,20,9.49,1.189,1.528,9.785,5.629,15.414
33,1000,5,0.004,3,10,5.231,1.665,1.991,10.654,-0.257,10.397
34,500,2,0.004,5,1,23.792,1.929,2.547,18.187,13.599,31.786
35,6000,20,0.002,5,15,30.801,1.728,2.158,14.664,22.22,36.884
36,4000,50,0.003,3,1,67.008,1.648,2.106,12.177,59.294,71.471
37,500,5,0.003,2,1,25.646,0.84,1.097,8.793,21.828,30.62
38,1000,5,0.003,2,15,7.893,1.718,2.114,14.145,0.247,14.392
39,2000,10,0.003,3,5,18.281,1.504,1.816,11.6,13.056,24.656
40,4000,2,0.004,2,5,3.745,1.458,1.826,12.338,-1.804,10.534
41,6000,2,0.003,3,1,16.88,1.279,1.551,10.98,11.436,22.416
42,4000,10,0.006,2,5,8.529,1.548,1.894,13.411,1.878,15.289
43,4000,10,0.004,2,20,7.497,1.435,1.807,11.992,3.17,15.162
44,500,5,0.005,6,10,10.412,1.742,2.22,14.883,2.985,17.868
45,2000,10,0.004,5,1,44.007,1.419,1.686,12.102,39.035,51.137
46,1000,10,0.004,4,1,44.124,1.705,2.209,11.427,36.874,48.3
47,1000,10,0.003,6,20,20.12,1.906,2.383,17.162,11.704,28.866
48,6000,20,0.002,3,20,19.124,2.284,2.655,14.59,12.158,26.748
49,2000,10,0.003,4,15,15.617,1.458,1.77,12.551,9.691,22.242
50,4000,50,0.006,6,10,46.287,4.093,4.727,19.327,37.939,57.266
51,6000,2,0.005,6,20,0.716,1.462,1.816,11.054,-3.356,7.698
52,500,5,0.005,5,20,9.415,2.558,3.136,15.593,2.077,17.67
53,1000,10,0.003,3,1,44.316,0.807,1.035,6.256,40.773,47.029
54,1000,10,0.005,2,20,7.238,1.731,2.131,13.296,0.931,14.227
55,2000,10,0.006,2,5,9.601,1.451,1.815,13.322,3.243,16.565
56,500,5,0.006,3,15,6.739,1.581,1.874,12.081,0.37,12.451
57,500,5,0.002,5,1,50.154,0.742,0.86,5.687,47.681,53.368
58,6000,5,0.003,2,5,7.677,1.351,1.596,8.094,4.62,12.713
59,2000,10,0.004,4,15,13.205,2.386,2.817,17.019,4.595,21.614
60,500,10,0.005,2,10,7.613,2.232,2.804,18.294,-1.447,16.847
