序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
1,223,2,0.002,4,200,11.138,1.961,2.302,11.451,5.547,16.998
2,223,2,0.004,5,175,7.094,1.217,1.563,13.882,2.586,16.468
3,223,2,0.006,3,150,3.195,1.142,1.398,9.156,-0.887,8.268
4,223,2,0.008,3,175,2.485,1.069,1.333,7.697,-1.291,6.406
5,223,2,0.008,5,150,3.69,1.371,1.654,10.457,-0.798,9.659
6,223,2,0.01,2,150,0.686,1.762,2.014,11.264,-6.399,4.865
7,223,2,0.01,5,125,1.862,2.025,2.359,11.417,-3.895,7.522
8,223,2,0.01,5,200,2.207,3.177,3.687,15.747,-5.981,9.766
9,223,5,0.002,4,100,25.201,3.2,3.838,19.179,17.784,36.963
10,223,5,0.004,1,100,3.11,3.066,3.348,12.492,-2.185,10.307
11,223,5,0.006,4,100,6.495,2.01,2.432,12.693,1.863,14.556
12,223,5,0.008,4,200,1.739,1.409,1.766,15.117,-2.527,12.589
13,223,5,0.008,5,150,4.404,1.305,1.791,16.629,-1.766,14.863
14,223,5,0.01,2,175,1.084,1.143,1.474,12.653,-4.397,8.256
15,223,10,0.008,1,150,2.74,1.476,1.761,10.917,-2.924,7.993
16,223,10,0.008,4,200,12.644,1.847,2.171,13.546,5.435,18.98
17,223,20,0.002,2,100,45.416,6.731,11.206,63.143,-2.575,60.568
18,223,20,0.004,1,175,15.549,2.537,3.105,16.526,7.923,24.449
19,223,20,0.004,1,200,16.516,2.903,3.425,16.065,9.231,25.296
20,223,20,0.004,5,100,60.576,4.215,5.424,39.225,44.38,83.605
21,223,20,0.006,3,100,23.744,2.026,2.449,15.112,16.605,31.717
22,223,20,0.006,3,200,22.73,2.281,2.758,15.495,15.109,30.603
23,223,40,0.008,4,100,40.776,2.948,3.762,26.846,29.514,56.36
24,223,40,0.01,5,200,40.3,3.052,3.793,28.153,28.397,56.55
25,500,2,0.002,3,150,7.306,1.267,1.875,15.61,-4.153,11.456
26,500,2,0.01,1,200,0.2,1.548,2.011,10.556,-5.667,4.888
27,500,5,0.002,4,150,22.421,1.626,2.064,13.469,15.698,29.168
28,500,5,0.004,1,175,2.243,1.344,1.876,12.053,-2.506,9.547
29,500,5,0.004,4,150,11.178,1.235,1.543,11.287,5.901,17.188
30,500,5,0.006,2,150,4.417,1.404,1.697,10.479,-0.199,10.281
31,500,5,0.008,2,175,3.112,1.879,2.343,11.72,-2.666,9.053
32,500,10,0.004,2,100,12.23,1.355,1.826,21.033,-0.707,20.326
33,500,10,0.004,5,200,29.771,1.54,1.964,13.513,24.036,37.549
34,500,10,0.006,3,100,13.116,1.18,1.49,11.144,7.503,18.647
35,500,10,0.008,1,200,4.233,1.172,1.455,9.998,-1.274,8.724
36,500,10,0.008,5,125,15.755,1.289,1.614,13.166,9.316,22.483
37,500,10,0.01,3,200,7.574,1.739,2.142,15.082,0.386,15.468
38,500,20,0.002,2,175,46.349,3.948,4.804,29.232,29.049,58.281
39,500,20,0.006,1,100,6.598,1.716,2.056,12.11,0.261,12.371
40,500,20,0.006,5,125,38.906,2.216,3.057,27.741,28.843,56.585
41,500,20,0.008,5,100,28.215,2.326,3.088,22.514,19.3,41.814
42,500,20,0.01,3,175,10.662,2.197,2.766,20.848,1.878,22.726
43,500,20,0.01,5,200,19.953,1.956,2.566,18.006,12.231,30.238
44,500,40,0.006,3,125,41.114,2.483,3.112,24.945,30.111,55.056
45,500,40,0.006,3,150,37.677,5.759,9.314,59.276,-7.442,51.834
46,500,40,0.008,4,200,39.86,4.14,5.127,33.8,23.747,57.546
47,500,40,0.01,3,175,19.729,4.165,4.919,29.558,6.481,36.04
48,500,40,0.01,5,200,36.889,4.069,4.968,24.954,25.751,50.705
49,1000,2,0.006,2,175,2.134,2.21,2.756,11.838,-2.559,9.279
50,1000,2,0.006,2,175,3.668,2.548,3.036,12.455,-0.812,11.643
51,1000,2,0.01,3,175,4.288,1.469,1.88,14.309,-3.093,11.216
52,1000,5,0.002,2,125,13.356,1.258,1.592,12.03,7.711,19.741
53,1000,5,0.002,2,175,12.048,1.599,1.944,11.335,7.282,18.617
54,1000,5,0.002,3,125,17.569,1.212,1.528,15.504,10.265,25.769
55,1000,5,0.01,4,125,4.141,1.364,1.746,14.439,-3.915,10.524
56,1000,10,0.004,2,125,9.995,1.607,2.046,13.179,4.664,17.843
57,1000,10,0.004,3,175,16.742,1.953,2.538,16.428,9.427,25.855
58,1000,10,0.006,3,175,12.587,1.738,2.262,17.505,6.749,24.254
59,1000,10,0.006,4,100,16.08,1.506,1.986,17.368,6.628,23.996
60,1000,10,0.01,1,125,3.385,1.298,1.619,9.576,-2.198,7.378
61,1000,20,0.004,2,200,20.883,1.556,1.988,14.215,13.002,27.217
62,1000,20,0.004,5,175,54.413,3.787,5.462,38.992,41.252,80.244
63,1000,20,0.006,4,125,27.581,2.587,3.123,18.935,18.934,37.869
64,1000,20,0.008,2,125,7.993,1.924,2.422,18.707,-1.972,16.735
65,1000,20,0.008,2,200,8.138,1.957,2.441,15.898,0.24,16.139
66,1000,40,0.002,1,125,-2.711,1.966,2.653,15.707,-13.162,2.545
67,1000,40,0.002,3,125,-20.61,1.633,2.103,13.862,-27.688,-13.827
68,1000,40,0.002,5,200,-13.114,1.303,1.636,10.769,-18.512,-7.743
69,1000,40,0.004,1,150,23.114,2.709,3.409,24.088,11.646,35.735
70,1000,40,0.004,4,175,-2.96,4.274,5.163,25.935,-15.339,10.596
71,1000,40,0.01,2,100,10.045,2.6,3.229,20.833,0.368,21.201
72,1000,40,0.01,5,100,34.965,2.637,3.217,23.218,25.956,49.174
73,2000,2,0.002,5,125,7.107,1.556,1.904,10.044,1.678,11.722
74,2000,2,0.002,5,200,6.557,1.402,1.708,12.108,1.226,13.333
75,2000,2,0.006,1,125,-1.828,1.757,2.165,10.39,-8.221,2.168
76,2000,2,0.006,3,100,0.348,1.543,1.855,10.251,-4.27,5.982
77,2000,5,0.002,2,150,8.712,2.002,2.501,17.293,-1.308,15.985
78,2000,5,0.008,1,150,1.098,2.061,2.429,11.187,-4.418,6.768
79,2000,5,0.01,2,150,1.408,1.727,2.051,10.137,-3.563,6.575
80,2000,10,0.002,4,100,38.979,2.427,2.974,20.653,29.319,49.972
81,2000,10,0.002,4,125,35.361,2.342,2.864,17.987,27.437,45.423
82,2000,10,0.004,2,150,7.655,2.289,2.821,17.996,-1.224,16.772
83,2000,10,0.004,3,100,14.024,2.767,3.106,16.389,6.891,23.28
84,2000,10,0.004,5,175,25.475,2.564,3.062,17.34,17.168,34.509
85,2000,10,0.006,1,200,5.953,1.818,2.134,11.419,0.981,12.4
86,2000,10,0.01,1,125,4.564,1.815,2.151,11.888,-1.778,10.11
87,2000,10,0.01,4,125,9.233,2.061,2.656,21.047,-0.481,20.566
88,2000,20,0.008,1,200,6.482,2.23,2.691,16.091,-1.142,14.948
89,2000,20,0.008,3,200,13.833,3.677,4.331,26.242,1.484,27.727
90,2000,40,0.004,2,100,36.821,5.001,6.087,40.154,13.152,53.306
91,2000,40,0.004,3,175,31.714,19.356,20.686,70.94,-1.874,69.066
92,2000,40,0.006,1,150,11.397,3.752,4.392,20.569,2.27,22.839
93,2000,40,0.008,2,125,11.472,3.581,4.357,29.82,-2.302,27.518
94,2000,40,0.008,4,100,28.91,3.255,4.134,38.959,7.026,45.986
95,2000,40,0.01,4,150,18.246,4.007,5.217,35.067,2.736,37.803
96,2000,40,0.01,5,150,25.553,4.253,5.216,36.718,8.82,45.538
97,4000,2,0.002,4,100,4.532,2.902,3.373,15.253,-2.797,12.456
98,4000,2,0.004,2,100,-0.502,1.868,2.166,9.022,-5.579,3.443
99,4000,2,0.006,1,125,-0.097,3.436,3.84,14.898,-6.105,8.793
100,4000,2,0.006,1,150,-1.422,1.969,2.262,8.685,-5.174,3.511
101,4000,2,0.006,4,150,0.692,1.344,1.646,8.589,-3.494,5.095
102,4000,2,0.008,3,175,0.608,1.523,2.054,10.703,-4.538,6.165
103,4000,2,0.008,5,200,2.053,1.852,2.467,13.507,-3.801,9.705
104,4000,5,0.002,4,150,13.43,1.999,2.463,17.768,6.916,24.684
105,4000,5,0.002,5,100,17.268,2.121,2.601,24.522,9.315,33.837
106,4000,5,0.004,1,125,2.167,1.123,1.4,7.766,-1.587,6.179
107,4000,5,0.008,1,150,1.129,1.536,1.918,9.556,-3.634,5.922
108,4000,5,0.008,3,150,3.43,2.045,2.492,13.022,-2.901,10.121
109,4000,5,0.01,1,150,1.728,1.765,2.276,11.5,-4.331,7.169
110,4000,10,0.004,4,175,14.234,1.735,2.125,13.623,7.806,21.429
111,4000,10,0.006,3,125,7.475,1.489,1.827,12.266,1.736,14.002
112,4000,10,0.01,2,200,2.805,1.398,1.733,13.164,-3.838,9.326
113,4000,20,0.002,2,200,27.922,2.763,3.588,20.096,19.227,39.324
114,4000,20,0.002,4,175,60.341,2.838,3.498,23.903,48.658,72.56
115,4000,20,0.002,5,125,72.956,5.063,6.363,38.536,48.663,87.199
116,4000,20,0.008,4,125,16.218,1.667,2.1,17.74,9.245,26.985
117,4000,20,0.01,1,175,7.334,2.279,2.659,14.355,0.515,14.87
118,4000,40,0.002,1,100,25.789,19.145,20.141,63.046,-10.075,52.971
119,4000,40,0.004,3,175,53.67,3.118,3.896,38.374,27.656,66.029
120,4000,40,0.006,5,100,54.905,6.033,7.492,40.756,32.087,72.843
