序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
1,500,2,0.002,4,11,13.951,0.702,0.882,7.056,11.324,18.38
2,500,2,0.004,5,9,8.819,0.257,0.336,4.827,5.287,10.114
3,500,2,0.006,3,7,3.87,0.197,0.249,2.176,2.753,4.928
4,500,2,0.008,3,9,2.196,0.3,0.37,5.11,-1.089,4.021
5,500,2,0.008,5,7,4.826,0.313,0.387,3.382,3.139,6.521
6,500,2,0.01,2,7,0.809,0.654,0.731,3.786,-0.916,2.87
7,500,2,0.01,5,5,6.061,0.783,0.88,4.522,3.492,8.014
8,500,2,0.01,5,11,2.56,0.963,1.098,6.096,-0.787,5.309
9,500,10,0.002,4,3,56.955,0.201,0.36,7.662,50.138,57.8
10,500,10,0.004,1,3,3.821,0.716,0.885,6.903,0.895,7.798
11,500,10,0.006,4,3,45.804,0.883,1.721,14.792,32.472,47.264
12,500,10,0.008,4,11,18.197,0.812,1.014,8.519,13.104,21.624
13,500,10,0.008,5,7,30.728,0.446,1.009,11.891,20.525,32.416
14,500,10,0.01,2,9,7.078,1.15,1.32,8.035,2.192,10.227
15,500,50,0.008,1,7,6.251,1.519,1.999,15.534,0.459,15.993
16,500,50,0.008,4,11,46.256,0.568,0.746,6.75,41.984,48.735
17,500,100,0.002,2,3,54.211,1.302,1.88,15.656,42.261,57.917
18,500,100,0.004,1,9,5.326,0.68,0.879,7.033,0.967,8.001
19,500,100,0.004,1,11,5.93,0.567,0.713,6.203,1.865,8.067
20,500,100,0.004,5,3,61.643,6.871,10.505,46.481,29.148,75.628
21,500,100,0.006,3,3,56.341,1.105,1.455,12.357,47.904,60.261
22,500,100,0.006,3,11,49.441,1.131,1.457,9.921,43.598,53.52
23,500,200,0.008,4,3,60.46,6.463,10.107,54.663,18.53,73.193
24,500,200,0.01,5,11,64.077,5.439,6.637,33.689,44.917,78.606
25,1000,2,0.002,3,7,15.753,0.394,0.551,7.704,9.345,17.05
26,1000,2,0.01,1,11,0.167,0.212,0.268,2.955,-1.423,1.532
27,1000,10,0.002,4,7,48.198,0.69,1.525,17.241,32.704,49.945
28,1000,10,0.004,1,9,10.115,0.326,0.431,4.812,7.344,12.155
29,1000,10,0.004,4,7,39.464,0.525,1.382,17.219,24.189,41.408
30,1000,10,0.006,2,7,17.554,0.261,0.331,4.584,14.341,18.925
31,1000,10,0.008,2,9,10.279,0.486,0.611,7.649,4.89,12.539
32,1000,50,0.004,2,3,48.314,0.58,0.815,8.801,41.377,50.178
33,1000,50,0.004,5,11,57.298,0.594,1.37,16.314,42.911,59.225
34,1000,50,0.006,3,3,55.162,0.473,0.648,8.213,49.027,57.24
35,1000,50,0.008,1,11,8.204,2.715,3.228,17.113,0.038,17.151
36,1000,50,0.008,5,5,54.609,0.681,1.495,36.707,23.706,60.413
37,1000,50,0.01,3,11,33.967,1.126,2.621,29.255,7.558,36.813
38,1000,100,0.002,2,9,49.91,6.074,9.616,45.195,11.516,56.711
39,1000,100,0.006,1,3,5.432,0.882,1.091,7.503,1.821,9.324
40,1000,100,0.006,5,5,57.288,0.985,1.665,17.817,44.203,62.02
41,1000,100,0.008,5,3,56.005,0.999,1.569,24.606,34.281,58.886
